period,stateid,stateDescription,sectorid,sectorName,customers,price,revenue,sales,customers-units,price-units,revenue-units,sales-units
2019-12,MA,Massachusetts,ALL,all sectors,3239202,18.56,812.69427,4379.7306,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-12,MA,Massachusetts,TRA,transportation,2,6.42,2.06218,32.13581,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-12,MA,Massachusetts,RES,residential,2814325,22.39,379.75455,1696.37779,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-12,MA,Massachusetts,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-12,MA,Massachusetts,IND,industrial,10963,14.76,76.3268,517.13921,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-12,MA,Massachusetts,COM,commercial,413912,16.61,354.55074,2134.07778,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-11,MA,Massachusetts,ALL,all sectors,3235873,18.05,716.88105,3971.21608,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-11,MA,Massachusetts,TRA,transportation,2,5.63,1.55787,27.67651,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-11,MA,Massachusetts,RES,residential,2811059,21.78,306.21249,1406.20904,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-11,MA,Massachusetts,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-11,MA,Massachusetts,IND,industrial,11072,15.03,77.22574,513.79221,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-11,MA,Massachusetts,COM,commercial,413740,16.4,331.88496,2023.53833,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-10,MA,Massachusetts,ALL,all sectors,3211042,17.76,695.08008,3912.87852,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-10,MA,Massachusetts,TRA,transportation,2,4.77,1.28411,26.93083,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-10,MA,Massachusetts,RES,residential,2789284,21.25,283.86291,1335.57872,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-10,MA,Massachusetts,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-10,MA,Massachusetts,IND,industrial,11040,14.46,73.48789,508.34205,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-10,MA,Massachusetts,COM,commercial,410716,16.48,336.44518,2042.02693,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-09,MA,Massachusetts,RES,residential,2797251,22.03,341.69015,1551.28004,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-09,MA,Massachusetts,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-09,MA,Massachusetts,IND,industrial,10985,14.46,75.21321,520.04795,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-09,MA,Massachusetts,COM,commercial,410769,16.88,345.37901,2046.54242,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-09,MA,Massachusetts,ALL,all sectors,3219007,18.42,763.53883,4144.15826,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-09,MA,Massachusetts,TRA,transportation,2,4.78,1.25647,26.28786,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-08,MA,Massachusetts,ALL,all sectors,3284135,18.42,928.31088,5038.73766,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-08,MA,Massachusetts,TRA,transportation,2,5.41,1.50889,27.90497,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-08,MA,Massachusetts,RES,residential,2860186,21.62,443.55292,2051.77927,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-08,MA,Massachusetts,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-08,MA,Massachusetts,IND,industrial,11015,14.28,81.32108,569.3787,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-08,MA,Massachusetts,COM,commercial,412932,16.82,401.92799,2389.67473,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-07,MA,Massachusetts,ALL,all sectors,3241989,18.16,930.46617,5123.38214,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-07,MA,Massachusetts,TRA,transportation,2,5.77,1.59721,27.66439,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-07,MA,Massachusetts,RES,residential,2817715,20.93,432.68255,2067.57915,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-07,MA,Massachusetts,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-07,MA,Massachusetts,IND,industrial,11077,14.65,86.50369,590.49408,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-07,MA,Massachusetts,COM,commercial,413195,16.81,409.68273,2437.64453,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-06,MA,Massachusetts,IND,industrial,10973,14.49,80.04959,552.51048,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-06,MA,Massachusetts,COM,commercial,410747,16.55,340.73517,2058.67167,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-06,MA,Massachusetts,ALL,all sectors,3217567,17.86,722.39791,4044.75955,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-06,MA,Massachusetts,TRA,transportation,2,5.19,1.33026,25.60796,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-06,MA,Massachusetts,RES,residential,2795845,21.33,300.28291,1407.96943,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-06,MA,Massachusetts,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-05,MA,Massachusetts,ALL,all sectors,3209020,18.09,687.44989,3800.42996,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-05,MA,Massachusetts,TRA,transportation,2,4.97,1.34115,26.99964,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-05,MA,Massachusetts,RES,residential,2788776,22.28,288.51194,1294.83641,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-05,MA,Massachusetts,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-05,MA,Massachusetts,IND,industrial,11043,14.25,76.1265,534.18822,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-05,MA,Massachusetts,COM,commercial,409199,16.53,321.47029,1944.40568,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-04,MA,Massachusetts,IND,industrial,11059,14.7,75.80395,515.55504,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-04,MA,Massachusetts,COM,commercial,409297,16.57,322.96002,1949.19002,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-04,MA,Massachusetts,ALL,all sectors,3214656,18.38,704.84795,3835.81195,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-04,MA,Massachusetts,TRA,transportation,2,5.36,1.45733,27.18106,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-04,MA,Massachusetts,RES,residential,2794298,22.67,304.62665,1343.88583,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-04,MA,Massachusetts,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-03,MA,Massachusetts,ALL,all sectors,3246898,19.14,802.72694,4193.31059,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-03,MA,Massachusetts,TRA,transportation,2,6.48,2.02086,31.19548,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-03,MA,Massachusetts,RES,residential,2820739,22.67,367.56299,1621.27137,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-03,MA,Massachusetts,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-03,MA,Massachusetts,IND,industrial,11108,15.32,78.33776,511.28873,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-03,MA,Massachusetts,COM,commercial,415049,17.48,354.80533,2029.55501,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-02,MA,Massachusetts,RES,residential,2745659,22.4,373.48896,1666.99816,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-02,MA,Massachusetts,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-02,MA,Massachusetts,IND,industrial,10876,15.47,75.45599,487.7602,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-02,MA,Massachusetts,COM,commercial,403453,16.97,342.55469,2018.33175,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-02,MA,Massachusetts,ALL,all sectors,3159990,18.89,794.17905,4203.37081,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-02,MA,Massachusetts,TRA,transportation,2,8.85,2.67941,30.2807,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-01,MA,Massachusetts,ALL,all sectors,3210007,18.92,886.9193,4688.81188,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-01,MA,Massachusetts,TRA,transportation,2,9.05,3.0426,33.6288,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-01,MA,Massachusetts,RES,residential,2790040,21.96,410.8765,1870.80579,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-01,MA,Massachusetts,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-01,MA,Massachusetts,IND,industrial,11027,15.34,79.95305,521.20214,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2019-01,MA,Massachusetts,COM,commercial,408938,17.37,393.04714,2263.17515,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-12,MA,Massachusetts,ALL,all sectors,3229286,18.47,814.94692,4411.83937,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-12,MA,Massachusetts,TRA,transportation,2,6.58,2.06979,31.44004,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-12,MA,Massachusetts,RES,residential,2799096,21.46,377.76863,1760.05321,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-12,MA,Massachusetts,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-12,MA,Massachusetts,IND,industrial,10438,14.95,81.53441,545.3138,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-12,MA,Massachusetts,COM,commercial,419750,17.04,353.57409,2075.03231,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-11,MA,Massachusetts,ALL,all sectors,3217271,18.05,740.35161,4100.58091,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-11,MA,Massachusetts,TRA,transportation,2,6.51,1.91227,29.36497,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-11,MA,Massachusetts,RES,residential,2787564,21.25,320.22442,1506.81266,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-11,MA,Massachusetts,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-11,MA,Massachusetts,IND,industrial,10518,14.82,80.9659,546.16119,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-11,MA,Massachusetts,COM,commercial,419187,16.71,337.24902,2018.2421,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-10,MA,Massachusetts,ALL,all sectors,3207866,18.23,749.2418,4109.66683,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-10,MA,Massachusetts,TRA,transportation,2,5.56,1.5048,27.0834,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-10,MA,Massachusetts,RES,residential,2780447,21.25,302.84234,1425.19035,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-10,MA,Massachusetts,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-10,MA,Massachusetts,IND,industrial,10489,14.63,84.81059,579.71426,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-10,MA,Massachusetts,COM,commercial,416928,17.33,360.08407,2077.67882,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-09,MA,Massachusetts,ALL,all sectors,3212693,18.97,892.77807,4706.31067,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-09,MA,Massachusetts,TRA,transportation,2,5.36,1.41159,26.35782,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-09,MA,Massachusetts,RES,residential,2783457,22.12,404.4501,1828.11067,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-09,MA,Massachusetts,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-09,MA,Massachusetts,IND,industrial,10528,14.91,83.12334,557.35731,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-09,MA,Massachusetts,COM,commercial,418706,17.6,403.79305,2294.48486,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-08,MA,Massachusetts,RES,residential,2777334,20.8,463.46884,2228.12833,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-08,MA,Massachusetts,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-08,MA,Massachusetts,IND,industrial,10471,14.62,93.47744,639.19531,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-08,MA,Massachusetts,COM,commercial,415823,16.96,440.78121,2598.52851,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-08,MA,Massachusetts,ALL,all sectors,3203630,18.19,999.3277,5494.47516,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-08,MA,Massachusetts,TRA,transportation,2,5.59,1.60021,28.62302,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-07,MA,Massachusetts,ALL,all sectors,3256883,18.13,934.09978,5153.08335,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-07,MA,Massachusetts,TRA,transportation,2,5.69,1.6303,28.67353,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-07,MA,Massachusetts,RES,residential,2836762,20.57,426.71203,2074.19648,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-07,MA,Massachusetts,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-07,MA,Massachusetts,IND,industrial,10551,14.79,88.13227,595.87346,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-07,MA,Massachusetts,COM,commercial,409568,17.02,417.62518,2454.33988,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-06,MA,Massachusetts,RES,residential,2772113,20.93,318.06039,1519.74438,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-06,MA,Massachusetts,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-06,MA,Massachusetts,IND,industrial,10468,14.86,83.71373,563.48368,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-06,MA,Massachusetts,COM,commercial,403852,16.31,357.07955,2188.7535,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-06,MA,Massachusetts,ALL,all sectors,3186435,17.68,760.16558,4298.54492,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-06,MA,Massachusetts,TRA,transportation,2,4.94,1.31192,26.56337,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-05,MA,Massachusetts,ALL,all sectors,3228381,17.89,700.06711,3912.13169,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-05,MA,Massachusetts,TRA,transportation,2,4.82,1.28713,26.72005,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-05,MA,Massachusetts,RES,residential,2811120,21.57,288.33383,1336.58239,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-05,MA,Massachusetts,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-05,MA,Massachusetts,IND,industrial,10502,14.69,80.98302,551.22437,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-05,MA,Massachusetts,COM,commercial,406757,16.49,329.46313,1997.60488,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-04,MA,Massachusetts,ALL,all sectors,3162641,18.38,721.1809,3924.57477,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-04,MA,Massachusetts,TRA,transportation,2,5.86,1.61135,27.50517,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-04,MA,Massachusetts,RES,residential,2749626,22.25,312.87867,1405.88715,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-04,MA,Massachusetts,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-04,MA,Massachusetts,IND,industrial,10373,14.72,76.89014,522.44682,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-04,MA,Massachusetts,COM,commercial,402640,16.75,329.80074,1968.73563,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-03,MA,Massachusetts,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-03,MA,Massachusetts,IND,industrial,10498,14.66,79.17941,540.2173,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-03,MA,Massachusetts,COM,commercial,402862,17.78,354.64747,1994.9274,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-03,MA,Massachusetts,ALL,all sectors,3171351,19.03,783.52597,4116.46873,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-03,MA,Massachusetts,TRA,transportation,2,5.97,1.93562,32.39823,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-03,MA,Massachusetts,RES,residential,2757989,22.45,347.76348,1548.9258,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-02,MA,Massachusetts,ALL,all sectors,3181483,19.27,811.58294,4211.85547,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-02,MA,Massachusetts,TRA,transportation,2,8.86,2.58233,29.14096,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-02,MA,Massachusetts,RES,residential,2776955,22.19,360.53474,1625.08979,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-02,MA,Massachusetts,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-02,MA,Massachusetts,IND,industrial,10618,15.58,79.89164,512.63291,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-02,MA,Massachusetts,COM,commercial,393908,18.02,368.57423,2044.99181,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-01,MA,Massachusetts,ALL,all sectors,3186696,19.66,952.63022,4845.49717,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-01,MA,Massachusetts,TRA,transportation,2,9.79,3.39731,34.70144,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-01,MA,Massachusetts,RES,residential,2778451,22.73,460.4114,2025.95281,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-01,MA,Massachusetts,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-01,MA,Massachusetts,IND,industrial,10578,15.56,84.89762,545.68159,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2018-01,MA,Massachusetts,COM,commercial,397665,18.04,403.92389,2239.16133,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2017-12,MA,Massachusetts,ALL,all sectors,3168525,17.26,798.1831,4625.11379,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2017-12,MA,Massachusetts,TRA,transportation,2,8.04,2.68993,33.44637,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2017-12,MA,Massachusetts,RES,residential,2749877,20.05,362.91783,1810.23829,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2017-12,MA,Massachusetts,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2017-12,MA,Massachusetts,IND,industrial,10233,14.3,81.85583,572.56364,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2017-12,MA,Massachusetts,COM,commercial,408413,15.88,350.71951,2208.86548,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2017-11,MA,Massachusetts,ALL,all sectors,3206086,17.15,699.19565,4077.86147,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2017-11,MA,Massachusetts,TRA,transportation,2,5.59,1.54401,27.59964,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2017-11,MA,Massachusetts,RES,residential,2780013,20.44,288.85597,1412.96613,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2017-11,MA,Massachusetts,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2017-11,MA,Massachusetts,IND,industrial,10322,13.96,77.39191,554.5069,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2017-11,MA,Massachusetts,COM,commercial,415749,15.91,331.40377,2082.7888,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2017-10,MA,Massachusetts,ALL,all sectors,3154061,17.18,690.79407,4019.92494,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2017-10,MA,Massachusetts,TRA,transportation,2,5.36,1.43176,26.71187,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2017-10,MA,Massachusetts,RES,residential,2738673,20.45,281.00809,1374.11602,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2017-10,MA,Massachusetts,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2017-10,MA,Massachusetts,IND,industrial,10297,13.85,78.08237,563.74958,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2017-10,MA,Massachusetts,COM,commercial,405089,16.07,330.27184,2055.34747,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2017-09,MA,Massachusetts,ALL,all sectors,3170236,17.88,775.47759,4338.24476,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2017-09,MA,Massachusetts,TRA,transportation,2,5.17,1.36323,26.35344,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2017-09,MA,Massachusetts,RES,residential,2752160,20.83,321.42504,1542.89994,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2017-09,MA,Massachusetts,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2017-09,MA,Massachusetts,IND,industrial,10395,14.22,82.305,578.97759,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2017-09,MA,Massachusetts,COM,commercial,407679,16.91,370.38433,2190.01379,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2017-08,MA,Massachusetts,ALL,all sectors,3141929,17.25,857.67907,4971.0943,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2017-08,MA,Massachusetts,TRA,transportation,2,5.3,1.49325,28.19112,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2017-08,MA,Massachusetts,RES,residential,2722543,19.66,377.58586,1920.60679,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2017-08,MA,Massachusetts,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2017-08,MA,Massachusetts,IND,industrial,10356,14.18,85.04045,599.58904,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2017-08,MA,Massachusetts,COM,commercial,409028,16.24,393.55951,2422.70735,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2017-07,MA,Massachusetts,ALL,all sectors,3188882,17.36,889.59829,5124.20517,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2017-07,MA,Massachusetts,TRA,transportation,2,5.42,1.52669,28.17667,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2017-07,MA,Massachusetts,RES,residential,2768949,19.72,392.6239,1990.5874,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2017-07,MA,Massachusetts,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2017-07,MA,Massachusetts,IND,industrial,10292,14.17,92.11712,650.17409,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2017-07,MA,Massachusetts,COM,commercial,409639,16.43,403.33058,2455.26701,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2017-06,MA,Massachusetts,ALL,all sectors,3214053,17.14,760.56029,4437.87885,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2017-06,MA,Massachusetts,TRA,transportation,2,5.32,1.44162,27.08581,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2017-06,MA,Massachusetts,RES,residential,2790718,19.62,314.66623,1603.53229,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2017-06,MA,Massachusetts,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2017-06,MA,Massachusetts,IND,industrial,10412,14.05,81.03216,576.57104,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2017-06,MA,Massachusetts,COM,commercial,412921,16.29,363.42029,2230.68971,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2017-05,MA,Massachusetts,ALL,all sectors,3184114,16.36,646.95836,3954.99029,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2017-05,MA,Massachusetts,TRA,transportation,2,5.55,1.48173,26.69485,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2017-05,MA,Massachusetts,RES,residential,2764360,19.76,265.32667,1342.93846,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2017-05,MA,Massachusetts,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2017-05,MA,Massachusetts,IND,industrial,10333,13.27,76.02355,573.00111,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2017-05,MA,Massachusetts,COM,commercial,409419,15.11,304.12642,2012.35586,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2017-04,MA,Massachusetts,ALL,all sectors,3197562,17.08,665.54331,3895.82949,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2017-04,MA,Massachusetts,TRA,transportation,2,5.63,1.56545,27.8223,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2017-04,MA,Massachusetts,RES,residential,2776719,20.99,287.67672,1370.34488,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2017-04,MA,Massachusetts,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2017-04,MA,Massachusetts,IND,industrial,10409,13.52,72.44514,535.85656,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2017-04,MA,Massachusetts,COM,commercial,410432,15.49,303.85601,1961.80575,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2017-03,MA,Massachusetts,ALL,all sectors,3234387,16.46,730.32229,4436.88852,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2017-03,MA,Massachusetts,TRA,transportation,2,5.92,1.94237,32.82112,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2017-03,MA,Massachusetts,RES,residential,2813099,19.53,319.94929,1638.33517,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2017-03,MA,Massachusetts,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2017-03,MA,Massachusetts,IND,industrial,10459,13.61,79.04989,580.85671,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
